,TEAM_ABBREVIATION,GROUP_VALUE,PLAYER_ID
0,TOR,2022-23,1630173
1,MEM,2022-23,203500
2,MIA,2022-23,1628389
3,UTA,2022-23,1630534
4,MEM,2022-23,1630583
5,TOT,2022-23,1629638
6,MIL,2022-23,1628960
7,CLE,2022-23,1628386
8,NOP,2022-23,1630631
9,MIN,2022-23,203937
10,MIL,2022-23,203507
11,MIL,2022-23,203648
12,ORL,2022-23,1630175
13,TOR,2022-23,1628384
14,TOT,2022-23,1627853
15,WAS,2022-23,1630166
16,PHX,2022-23,1629028
17,UTA,2022-23,1628962
18,DET,2022-23,1628963
19,GSW,2022-23,1631116
20,CHA,2022-23,1630163
21,CHI,2021-22,1628366
22,TOT,2022-23,1628964
23,ORL,2022-23,1631094
24,MEM,2022-23,1630217
25,TOR,2022-23,1630625
26,SAS,2022-23,1631230
27,SAC,2022-23,203084
28,TOR,2022-23,1630567
29,NYK,2022-23,1629628
30,TOT,2022-23,203115
31,SAS,2022-23,1629646
32,SAS,2022-23,1628966
33,LAC,2022-23,201587
34,TOT,2022-23,1629647
35,WAS,2022-23,203078
36,TOT,2022-23,1627736
37,MIL,2022-23,1630699
38,DAL,2022-23,202722
39,TOT,2022-23,201976
40,TOT,2022-23,1630180
41,TOR,2022-23,203920
42,TOT,2022-23,1629048
43,PHX,2022-23,202687
44,DET,2022-23,1631205
45,ATL,2022-23,203992
46,DET,2022-23,202711
47,ORL,2022-23,1629626
48,UTA,2022-23,1630195
49,PHX,2022-23,1626164
50,LAC,2022-23,1630527
51,TOR,2022-23,1628449
52,CHA,2022-23,1630547
53,TOT,2022-23,1631123
54,CHI,2022-23,1628396
55,SAS,2022-23,1631103
56,UTA,2022-23,1629714
57,DEN,2022-23,1631128
58,TOT,2022-23,1628969
59,IND,2022-23,1629052
60,BOS,2022-23,1627763
61,MEM,2022-23,1628415
62,DEN,2022-23,1628971
63,BOS,2022-23,1627759
64,IND,2022-23,1631112
65,TOT,2022-23,1629650
66,LAL,2022-23,1628425
67,POR,2022-23,1630535
68,LAL,2022-23,1628972
69,NYK,2022-23,1628973
70,TOT,2022-23,1628418
71,DAL,2022-23,203493
72,DET,2022-23,202692
73,SAC,2022-23,1629126
74,OKC,2022-23,1630215
75,MIA,2022-23,202710
76,POR,2022-23,1631219
77,MIA,2022-23,1631288
78,DEN,2022-23,203484
79,DAL,2022-23,1630267
80,DEN,2022-23,1628427
81,ATL,2022-23,203991
82,WAS,2022-23,1630176
83,MIL,2022-23,1628975
84,ORL,2022-23,1628976
85,ORL,2022-23,203487
86,CHI,2022-23,1627936
87,TOT,2022-23,1630577
88,TOT,2022-23,1630551
89,MEM,2022-23,1631113
90,LAL,2022-23,1631108
91,HOU,2022-23,1630528
92,MEM,2022-23,1629634
93,UTA,2022-23,203903
94,BKN,2022-23,1629651
95,LAC,2022-23,1629599
96,ATL,2022-23,1628381
97,SAS,2022-23,1628380
98,TOT,2022-23,201144
99,MIL,2022-23,1626192
100,WAS,2022-23,1641645
101,LAC,2022-23,203496
102,PHX,2022-23,1628470
103,MIL,2022-23,203109
104,ATL,2022-23,1629633
105,DET,2022-23,1630595
106,BKN,2022-23,203552
107,GSW,2022-23,201939
108,NOP,2022-23,1630700
109,LAL,2022-23,203076
110,WAS,2022-23,1631098
111,SAC,2022-23,1629056
112,BOS,2022-23,1631120
113,HOU,2022-23,1630620
114,CHI,2022-23,201942
115,TOT,2022-23,203473
116,SAC,2022-23,203521
117,GSW,2022-23,1628978
118,LAC,2022-23,1631217
119,CLE,2022-23,1629603
120,DET,2022-23,1628977
121,SAS,2022-23,203476
122,OKC,2022-23,1631172
123,TOT,2022-23,203915
124,DAL,2022-23,1629029
125,DAL,2022-23,1628416
126,OKC,2022-23,1629652
127,CHI,2022-23,1630245
128,WAS,2022-23,1629653
129,TOR,2022-23,1630288
130,SAC,2022-23,1628408
131,TOT,2022-23,201609
132,CHI,2022-23,203083
133,IND,2022-23,1630537
134,BKN,2022-23,1630561
135,UTA,2022-23,1627739
136,TOT,2022-23,201142
137,DET,2022-23,1631105
138,HOU,2022-23,1631106
139,MIN,2022-23,1630162
140,TOT,2022-23,1630556
141,SAC,2022-23,1631165
142,PHI,2022-23,203954
143,POR,2022-23,1629234
144,TOT,2022-23,1628981
145,TOT,2022-23,1627827
146,TOR,2022-23,1630201
147,UTA,2022-23,1631323
148,MIN,2022-23,1627854
149,ATL,2022-23,1630235
150,PHI,2022-23,1630701
151,NYK,2022-23,203095
152,SAC,2022-23,1628368
153,ORL,2022-23,1628365
154,LAL,2022-23,1629117
155,WAS,2022-23,1629655
156,ATL,2021-22,201568
157,CLE,2022-23,1629636
158,HOU,2022-23,1630586
159,MIN,2022-23,1630568
160,UTA,2022-23,200752
161,LAC,2022-23,202331
162,WAS,2022-23,201959
163,OKC,2022-23,1630581
164,OKC,2022-23,1628983
165,WAS,2022-23,1630264
166,MIN,2022-23,203497
167,WAS,2022-23,1630692
168,DEN,2022-23,203932
169,TOT,2022-23,201569
170,TOT,2022-23,1628984
171,POR,2022-23,203924
172,MIL,2022-23,1631260
173,TOT,2022-23,201980
174,GSW,2022-23,203110
175,GSW,2022-23,203210
176,HOU,2022-23,1630224
177,CHI,2022-23,1629750
178,DEN,2022-23,201145
179,DAL,2022-23,1630182
180,ATL,2022-23,1631100
181,BOS,2022-23,201933
182,NYK,2022-23,1629656
183,TOT,2022-23,1629060
184,IND,2022-23,1630169
185,SAS,2022-23,1631160
186,TOT,2022-23,1630181
187,DAL,2022-23,203501
188,PHI,2022-23,201935
189,DAL,2022-23,1630702
190,TOR,2022-23,1631199
191,PHI,2022-23,1626149
192,ORL,2022-23,203914
193,BKN,2022-23,203925
194,ORL,2022-23,1630284
195,PHI,2022-23,202699
196,TOT,2022-23,1628404
197,NYK,2022-23,1628392
198,MIA,2022-23,2617
199,BOS,2022-23,1630573
200,NOP,2022-23,1629637
201,DET,2022-23,1630165
202,CHA,2022-23,202330
203,TOR,2022-23,1627823
204,NOP,2022-23,1626195
205,MIA,2022-23,1629639
206,IND,2022-23,1627741
207,MIA,2022-23,1629312
208,TOT,2022-23,201588
209,CHI,2022-23,1630792
210,ATL,2022-23,1628988
211,MIL,2022-23,201950
212,TOT,2022-23,203200
213,SAC,2022-23,1626158
214,BOS,2022-23,201143
215,UTA,2022-23,1629659
216,PHI,2022-23,1627863
217,ORL,2022-23,1631216
218,HOU,2022-23,1631309
219,SAC,2022-23,1628989
220,WAS,2022-23,1630643
221,ATL,2022-23,1629631
222,TOT,2022-23,1630538
223,MIL,2022-23,201586
224,GSW,2022-23,2738
225,MIL,2022-23,204060
226,NOP,2022-23,1627742
227,TOT,2022-23,202681
228,ORL,2022-23,1628371
229,DET,2022-23,1631093
230,UTA,2022-23,1628402
231,IND,2022-23,1630543
232,BOS,2022-23,1628382
233,WAS,2022-23,1631245
234,TOT,2022-23,202704
235,MEM,2022-23,1628991
236,LAL,2022-23,2544
237,MEM,2021-22,1629610
238,GSW,2022-23,1629660
239,OKC,2022-23,1630198
240,SAS,2022-23,1628993
241,TOT,2022-23,1629661
242,ATL,2022-23,1630552
243,IND,2022-23,201949
244,SAS,2022-23,1629640
245,POR,2022-23,1630553
246,SAS,2022-23,1626169
247,DEN,2022-23,203999
248,CHI,2022-23,1630637
249,TOT,2022-23,1627745
250,NOP,2022-23,1630529
251,CHA,2022-23,1630539
252,SAS,2022-23,1630200
253,MEM,2022-23,1626145
254,CHI,2022-23,1627884
255,DEN,2022-23,201599
256,DET,2022-23,202709
257,MIA,2022-23,1631107
258,UTA,2022-23,1630548
259,BOS,2022-23,1629662
260,TOT,2022-23,1626163
261,NYK,2022-23,1631211
262,TOT,2022-23,1628379
263,UTA,2022-23,1631117
264,DET,2022-23,1630296
265,PHI,2022-23,1629663
266,WAS,2022-23,1630557
267,DAL,2022-23,1628467
268,MIN,2022-23,1630233
269,TOT,2022-23,1628995
270,TOR,2022-23,1631132
271,MEM,2022-23,1629723
272,PHI,2022-23,1627788
273,BOS,2022-23,1628436
274,ATL,2022-23,1630249
275,GSW,2022-23,1630228
276,WAS,2022-23,1628398
277,MEM,2022-23,1631222
278,CHI,2022-23,203897
279,GSW,2022-23,1630237
280,PHX,2022-23,1629111
281,SAS,2022-23,1629641
282,TOT,2022-23,1630639
283,CLE,2022-23,1627747
284,PHX,2022-23,1627814
285,TOT,2022-23,1630240
286,SAC,2022-23,203458
287,LAC,2022-23,202695
288,MIL,2022-23,203086
289,NOP,2022-23,1630184
290,POR,2022-23,203081
291,POR,2022-23,1629642
292,DET,2022-23,1630587
293,MEM,2022-23,1631254
294,GSW,2022-23,1626172
295,MIL,2022-23,201572
296,CLE,2022-23,201577
297,TOT,2022-23,201567
298,MIA,2022-23,200768
299,SAC,2022-23,1626168
300,CHA,2022-23,1630177
301,TOT,2022-23,1630572
