,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
0,42022,1610612747,LAL,Los Angeles Lakers,0042200233,2023-05-06,LAL vs. GSW,W,32,21,6,11,0.545,2,4,0.5,7,8,0.875,1,7,8,8,0,1,0,0,5.2
1,42022,1610612747,LAL,Los Angeles Lakers,0042200232,2023-05-04,LAL @ GSW,L,28,23,10,18,0.556,3,8,0.375,0,0,,0,7,7,3,1,0,0,3,-5.4
2,42022,1610612747,LAL,Los Angeles Lakers,0042200231,2023-05-02,LAL @ GSW,W,40,22,9,24,0.375,1,8,0.125,3,4,0.75,2,9,11,4,0,3,4,0,0.2
3,42022,1610612747,LAL,Los Angeles Lakers,0042200156,2023-04-28,LAL vs. MEM,W,31,22,9,13,0.692,2,5,0.4,2,3,0.667,1,4,5,6,1,0,3,2,6.4
4,42022,1610612747,LAL,Los Angeles Lakers,0042200155,2023-04-26,LAL @ MEM,L,37,15,5,17,0.294,1,9,0.111,4,6,0.667,2,8,10,5,1,1,5,1,-0.2
5,42022,1610612747,LAL,Los Angeles Lakers,0042200154,2023-04-24,LAL vs. MEM,W,45,22,8,18,0.444,1,7,0.143,5,7,0.714,5,15,20,7,0,2,1,3,1.6
6,42022,1610612747,LAL,Los Angeles Lakers,0042200153,2023-04-22,LAL vs. MEM,W,36,25,10,20,0.5,0,4,0.0,5,7,0.714,2,7,9,5,1,1,3,3,-1.2
7,42022,1610612747,LAL,Los Angeles Lakers,0042200152,2023-04-19,LAL @ MEM,L,39,28,12,23,0.522,1,8,0.125,3,4,0.75,2,10,12,3,1,1,1,1,-3.4
8,42022,1610612747,LAL,Los Angeles Lakers,0042200151,2023-04-16,LAL @ MEM,W,34,21,8,16,0.5,3,8,0.375,2,4,0.5,2,9,11,5,2,3,5,1,1.4
9,52022,1610612747,LAL,Los Angeles Lakers,0052200121,2023-04-11,LAL vs. MIN,W,45,30,12,21,0.571,3,6,0.5,3,3,1.0,1,9,10,6,1,2,5,5,-2.8
