,TEAM_ABBREVIATION,GROUP_VALUE,PLAYER_ID
0,TOR,2022-23,1630173
1,TOR,2021-22,1630173
2,MIA,2020-21,1630173
3,MEM,2022-23,203500
4,MEM,2021-22,203500
5,NOP,2020-21,203500
6,OKC,2019-20,203500
7,OKC,2018-19,203500
8,OKC,2017-18,203500
9,OKC,2016-17,203500
10,OKC,2015-16,203500
11,OKC,2014-15,203500
12,OKC,2013-14,203500
13,MIA,2022-23,1628389
14,MIA,2021-22,1628389
15,MIA,2020-21,1628389
16,MIA,2019-20,1628389
17,MIA,2018-19,1628389
18,MIA,2017-18,1628389
19,UTA,2022-23,1630534
20,MEM,2022-23,1630583
21,MEM,2021-22,1630583
22,TOT,2022-23,1629638
23,MIN,2022-23,1629638
24,UTA,2022-23,1629638
25,TOT,2021-22,1629638
26,UTA,2021-22,1629638
27,NOP,2021-22,1629638
28,NOP,2020-21,1629638
29,NOP,2019-20,1629638
30,MIL,2022-23,1628960
31,MIL,2021-22,1628960
32,MEM,2020-21,1628960
33,MEM,2019-20,1628960
34,UTA,2018-19,1628960
35,CLE,2022-23,1628386
36,CLE,2021-22,1628386
37,TOT,2020-21,1628386
38,CLE,2020-21,1628386
39,BKN,2020-21,1628386
40,BKN,2019-20,1628386
41,BKN,2018-19,1628386
42,BKN,2017-18,1628386
43,NOP,2022-23,1630631
44,NOP,2021-22,1630631
45,MIN,2022-23,203937
46,MEM,2021-22,203937
47,MEM,2020-21,203937
48,MEM,2019-20,203937
49,MEM,2018-19,203937
50,SAS,2017-18,203937
51,SAS,2016-17,203937
52,SAS,2015-16,203937
53,SAS,2014-15,203937
54,MIL,2022-23,203507
55,MIL,2021-22,203507
56,MIL,2020-21,203507
57,MIL,2019-20,203507
58,MIL,2018-19,203507
59,MIL,2017-18,203507
60,MIL,2016-17,203507
61,MIL,2015-16,203507
62,MIL,2014-15,203507
63,MIL,2013-14,203507
64,LAL,2020-21,1628961
65,LAL,2019-20,1628961
66,DAL,2018-19,1628961
67,MIL,2022-23,203648
68,MIL,2021-22,203648
69,MIL,2020-21,203648
70,MIL,2019-20,203648
71,NYK,2015-16,203648
72,ORL,2022-23,1630175
73,ORL,2021-22,1630175
74,ORL,2020-21,1630175
75,TOR,2022-23,1628384
76,TOR,2021-22,1628384
77,TOR,2020-21,1628384
78,TOR,2019-20,1628384
79,TOR,2018-19,1628384
80,TOR,2017-18,1628384
81,TOT,2022-23,1627853
82,POR,2022-23,1627853
83,NYK,2022-23,1627853
84,NYK,2021-22,1627853
85,CHI,2020-21,1627853
86,CHI,2019-20,1627853
87,CHI,2018-19,1627853
88,CHI,2017-18,1627853
89,WAS,2022-23,1630166
90,WAS,2021-22,1630166
91,WAS,2020-21,1630166
92,PHX,2022-23,1629028
93,PHX,2021-22,1629028
