,TEAM_ABBREVIATION,GROUP_VALUE,PLAYER_ID
0,TOR,2022-23,1630173
1,MEM,2022-23,203500
2,MIA,2022-23,1628389
3,UTA,2022-23,1630534
4,MEM,2022-23,1630583
5,TOT,2022-23,1629638
6,MIL,2022-23,1628960
7,CLE,2022-23,1628386
8,NOP,2022-23,1630631
9,MIN,2022-23,203937
10,MIL,2022-23,203507
11,LAL,2020-21,1628961
12,MIL,2022-23,203648
13,ORL,2022-23,1630175
14,TOR,2022-23,1628384
15,TOT,2022-23,1627853
16,WAS,2022-23,1630166
17,PHX,2022-23,1629028
18,UTA,2022-23,1628962
19,DET,2022-23,1628963
20,GSW,2022-23,1631116
21,CHA,2022-23,1630163
22,,,0
23,CHI,2021-22,1628366
24,TOT,2022-23,1628964
25,ORL,2022-23,1631094
26,MEM,2022-23,1630217
27,TOR,2022-23,1630625
28,SAS,2022-23,1631230
29,SAC,2022-23,203084
30,TOR,2022-23,1630567
31,NYK,2022-23,1629628
32,TOT,2022-23,203115
33,SAS,2022-23,1629646
34,SAS,2022-23,1628966
35,LAC,2022-23,201587
36,LAL,2021-22,203145
37,TOT,2022-23,1629647
38,WAS,2022-23,203078
39,TOT,2022-23,1627736
40,MIL,2022-23,1630699
41,,,0
42,DAL,2022-23,202722
43,TOT,2022-23,201976
44,TOT,2022-23,1630180
45,,,0
46,TOR,2022-23,203920
47,TOT,2022-23,1629048
48,PHX,2022-23,202687
49,DET,2022-23,1631205
50,ATL,2022-23,203992
51,DET,2022-23,202711
52,ORL,2022-23,1629626
53,CLE,2020-21,1629716
54,UTA,2022-23,1630195
55,PHX,2022-23,1626164
56,LAC,2022-23,1630527
57,TOR,2022-23,1628449
58,CHA,2022-23,1630547
59,TOT,2022-23,1631123
60,CHI,2022-23,1628396
61,SAS,2022-23,1631103
62,DEN,2022-23,1631128
63,TOT,2022-23,1628969
64,IND,2022-23,1629052
65,BOS,2022-23,1627763
66,MEM,2022-23,1628415
67,DEN,2022-23,1628971
68,,,0
69,BOS,2022-23,1627759
70,IND,2022-23,1631112
71,TOT,2022-23,1629650
72,POR,2022-23,1630535
73,TOT,2021-22,1629718
74,LAL,2022-23,1628972
75,NYK,2022-23,1628973
76,TOT,2022-23,1628418
77,DAL,2022-23,203493
78,DAL,2021-22,203504
79,DET,2022-23,202692
80,OKC,2022-23,1630215
81,MIA,2022-23,202710
82,MIA,2022-23,1631288
83,DEN,2022-23,203484
84,DEN,2022-23,1628427
85,ORL,2021-22,1629962
86,ATL,2022-23,203991
87,WAS,2022-23,1630176
88,MIL,2022-23,1628975
89,ORL,2022-23,1628976
90,CHI,2022-23,1627936
91,TOT,2021-22,1626161
92,TOT,2022-23,1630577
93,TOT,2022-23,1630551
94,MEM,2022-23,1631113
95,UTA,2021-22,1629597
96,GSW,2021-22,1629185
97,DAL,2021-22,1627737
98,LAL,2022-23,1631108
99,HOU,2022-23,1630528
100,MEM,2022-23,1629634
101,UTA,2022-23,203903
102,BKN,2022-23,1629651
103,LAC,2022-23,1629599
104,ATL,2022-23,1628381
105,SAS,2022-23,1628380
106,TOT,2022-23,201144
107,MIL,2022-23,1626192
108,TOT,2020-21,1626188
109,ATL,2021-22,1630536
110,LAC,2022-23,203496
111,PHX,2022-23,1628470
112,MIL,2022-23,203109
113,,,0
114,ATL,2022-23,1629633
115,DET,2022-23,1630595
116,BKN,2022-23,203552
117,GSW,2022-23,201939
118,NOP,2022-23,1630700
119,CHA,2020-21,1630268
120,LAL,2022-23,203076
121,WAS,2022-23,1631098
122,SAC,2022-23,1629056
123,BOS,2022-23,1631120
124,HOU,2022-23,1630620
125,CHI,2022-23,201942
126,TOT,2022-23,203473
127,SAC,2022-23,203521
128,GSW,2022-23,1628978
129,LAC,2022-23,1631217
130,CLE,2022-23,1629603
131,DET,2022-23,1628977
132,SAS,2022-23,203476
133,OKC,2022-23,1631172
134,TOT,2022-23,203915
135,DAL,2022-23,1629029
136,DAL,2022-23,1628416
137,OKC,2022-23,1629652
138,CHI,2022-23,1630245
139,WAS,2022-23,1629653
140,TOR,2022-23,1630288
141,SAC,2022-23,1628408
142,TOT,2022-23,201609
143,CHI,2022-23,203083
144,IND,2022-23,1630537
145,BKN,2022-23,1630561
146,TOT,2022-23,201142
147,DET,2022-23,1631105
148,,,0
149,HOU,2022-23,1631106
150,MIN,2022-23,1630162
151,TOT,2022-23,1630556
152,POR,2021-22,1629604
153,SAC,2022-23,1631165
154,PHI,2022-23,203954
155,POR,2022-23,1629234
156,OKC,2021-22,202324
157,TOT,2022-23,1628981
158,TOT,2022-23,1627827
159,TOT,2021-22,1630238
160,TOR,2022-23,1630201
161,UTA,2022-23,1631323
162,MIN,2022-23,1627854
163,ATL,2022-23,1630235
164,PHI,2022-23,1630701
165,NYK,2022-23,203095
166,SAC,2022-23,1628368
167,ORL,2022-23,1628365
168,LAL,2022-23,1629117
169,,,0
170,WAS,2022-23,1629655
171,ATL,2021-22,201568
172,TOT,2021-22,204038
173,CLE,2022-23,1629636
174,MIA,2021-22,1630585
175,HOU,2022-23,1630586
176,MIN,2022-23,1630568
177,UTA,2022-23,200752
178,LAC,2022-23,202331
179,WAS,2022-23,201959
180,OKC,2022-23,1630581
181,OKC,2022-23,1628983
182,WAS,2022-23,1630264
183,,,0
184,MIN,2022-23,203497
185,,,0
186,WAS,2022-23,1630692
187,DEN,2022-23,203932
188,TOT,2022-23,201569
189,TOT,2022-23,1628984
190,POR,2022-23,203924
191,BKN,2022-23,1630564
192,MIL,2022-23,1631260
193,TOT,2022-23,201980
194,GSW,2022-23,203110
195,GSW,2022-23,203210
196,HOU,2022-23,1630224
197,CHI,2022-23,1629750
198,DEN,2022-23,201145
199,DAL,2022-23,1630182
200,ATL,2022-23,1631100
201,BOS,2022-23,201933
202,NYK,2022-23,1629656
203,,,0
204,TOT,2022-23,1629060
205,IND,2022-23,1630169
206,SAS,2022-23,1631160
207,NYK,2021-22,1629788
208,TOT,2022-23,1630181
209,DAL,2022-23,203501
210,PHI,2022-23,201935
211,DAL,2022-23,1630702
212,TOR,2022-23,1631199
213,PHI,2022-23,1626149
214,ORL,2022-23,203914
215,TOR,2020-21,1630223
216,BKN,2022-23,203925
217,ORL,2022-23,1630284
218,PHI,2022-23,202699
219,POR,2022-23,1627885
220,TOT,2022-23,1628404
221,NYK,2022-23,1628392
222,MIA,2022-23,2617
223,BOS,2022-23,1630573
224,NOP,2022-23,1629637
225,DET,2022-23,1630165
226,CHA,2022-23,202330
227,TOR,2022-23,1627823
228,NOP,2022-23,1626195
229,MIA,2022-23,1629639
230,IND,2022-23,1627741
231,MIA,2022-23,1629312
232,TOT,2022-23,201588
233,CHI,2022-23,1630792
234,IND,2021-22,1630207
235,ATL,2022-23,1628988
236,MIL,2022-23,201950
237,TOT,2022-23,203200
238,SAC,2022-23,1626158
239,,,0
240,BOS,2022-23,201143
241,UTA,2022-23,1629659
242,PHI,2022-23,1627863
243,ORL,2022-23,1631216
244,HOU,2022-23,1631309
245,SAC,2022-23,1628989
246,WAS,2022-23,1630643
247,NYK,2021-22,1630624
248,ATL,2022-23,1629631
249,,,0
250,TOT,2022-23,1630538
251,MIL,2022-23,201586
252,GSW,2022-23,2738
253,MIL,2022-23,204060
254,NOP,2022-23,1627742
255,TOT,2022-23,202681
256,ORL,2022-23,1628371
257,DET,2022-23,1631093
258,IND,2022-23,1630543
259,TOT,2021-22,1628367
260,BOS,2022-23,1628382
261,WAS,2022-23,1631245
262,TOT,2022-23,202704
263,MEM,2022-23,1628991
264,LAL,2022-23,2544
265,MEM,2021-22,1629610
266,,,0
267,GSW,2022-23,1629660
268,OKC,2022-23,1630198
269,SAS,2022-23,1628993
270,TOT,2022-23,1629661
271,ATL,2022-23,1630552
272,IND,2022-23,201949
273,SAS,2022-23,1629640
274,POR,2022-23,1630553
275,SAS,2022-23,1626169
276,DEN,2022-23,203999
277,CHI,2022-23,1630637
278,TOT,2022-23,1627745
279,NOP,2022-23,1630529
280,CHA,2022-23,1630539
281,SAS,2022-23,1630200
282,MEM,2022-23,1626145
283,CHI,2022-23,1627884
284,DEN,2022-23,201599
285,DET,2022-23,202709
286,MIA,2022-23,1631107
287,UTA,2022-23,1630548
288,BOS,2022-23,1629662
289,TOT,2022-23,1626163
290,NYK,2022-23,1631211
291,TOT,2022-23,1628379
292,UTA,2022-23,1631117
293,DET,2022-23,1630296
294,,,0
295,WAS,2022-23,1630557
296,DAL,2022-23,1628467
297,MIN,2022-23,1630233
298,TOT,2022-23,1628995
299,TOR,2022-23,1631132
300,MEM,2022-23,1629723
301,PHI,2022-23,1627788
302,BOS,2022-23,1628436
303,ATL,2022-23,1630249
304,GSW,2022-23,1630228
305,WAS,2022-23,1628398
306,MEM,2022-23,1631222
307,CHI,2022-23,203897
308,GSW,2022-23,1630237
309,PHX,2022-23,1629111
