,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,"{'TEAM_ABBREVIATION': 'TOR', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1630173}","{'TEAM_ABBREVIATION': 'TOR', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 1630173}","{'TEAM_ABBREVIATION': 'MIA', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 1630173}",,,,,,,,,,,,,,,,,,,,,,
1,"{'TEAM_ABBREVIATION': 'MEM', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 203500}","{'TEAM_ABBREVIATION': 'MEM', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 203500}","{'TEAM_ABBREVIATION': 'NOP', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 203500}","{'TEAM_ABBREVIATION': 'OKC', 'GROUP_VALUE': '2019-20', 'PLAYER_ID': 203500}","{'TEAM_ABBREVIATION': 'OKC', 'GROUP_VALUE': '2018-19', 'PLAYER_ID': 203500}","{'TEAM_ABBREVIATION': 'OKC', 'GROUP_VALUE': '2017-18', 'PLAYER_ID': 203500}","{'TEAM_ABBREVIATION': 'OKC', 'GROUP_VALUE': '2016-17', 'PLAYER_ID': 203500}","{'TEAM_ABBREVIATION': 'OKC', 'GROUP_VALUE': '2015-16', 'PLAYER_ID': 203500}","{'TEAM_ABBREVIATION': 'OKC', 'GROUP_VALUE': '2014-15', 'PLAYER_ID': 203500}","{'TEAM_ABBREVIATION': 'OKC', 'GROUP_VALUE': '2013-14', 'PLAYER_ID': 203500}",,,,,,,,,,,,,,,
2,"{'TEAM_ABBREVIATION': 'MIA', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1628389}","{'TEAM_ABBREVIATION': 'MIA', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 1628389}","{'TEAM_ABBREVIATION': 'MIA', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 1628389}","{'TEAM_ABBREVIATION': 'MIA', 'GROUP_VALUE': '2019-20', 'PLAYER_ID': 1628389}","{'TEAM_ABBREVIATION': 'MIA', 'GROUP_VALUE': '2018-19', 'PLAYER_ID': 1628389}","{'TEAM_ABBREVIATION': 'MIA', 'GROUP_VALUE': '2017-18', 'PLAYER_ID': 1628389}",,,,,,,,,,,,,,,,,,,
3,"{'TEAM_ABBREVIATION': 'UTA', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1630534}",,,,,,,,,,,,,,,,,,,,,,,,
4,"{'TEAM_ABBREVIATION': 'MEM', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1630583}","{'TEAM_ABBREVIATION': 'MEM', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 1630583}",,,,,,,,,,,,,,,,,,,,,,,
5,"{'TEAM_ABBREVIATION': 'TOT', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1629638}","{'TEAM_ABBREVIATION': 'MIN', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1629638}","{'TEAM_ABBREVIATION': 'UTA', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1629638}","{'TEAM_ABBREVIATION': 'TOT', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 1629638}","{'TEAM_ABBREVIATION': 'UTA', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 1629638}","{'TEAM_ABBREVIATION': 'NOP', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 1629638}","{'TEAM_ABBREVIATION': 'NOP', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 1629638}","{'TEAM_ABBREVIATION': 'NOP', 'GROUP_VALUE': '2019-20', 'PLAYER_ID': 1629638}",,,,,,,,,,,,,,,,,
6,"{'TEAM_ABBREVIATION': 'MIL', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1628960}","{'TEAM_ABBREVIATION': 'MIL', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 1628960}","{'TEAM_ABBREVIATION': 'MEM', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 1628960}","{'TEAM_ABBREVIATION': 'MEM', 'GROUP_VALUE': '2019-20', 'PLAYER_ID': 1628960}","{'TEAM_ABBREVIATION': 'UTA', 'GROUP_VALUE': '2018-19', 'PLAYER_ID': 1628960}",,,,,,,,,,,,,,,,,,,,
7,"{'TEAM_ABBREVIATION': 'CLE', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1628386}","{'TEAM_ABBREVIATION': 'CLE', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 1628386}","{'TEAM_ABBREVIATION': 'TOT', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 1628386}","{'TEAM_ABBREVIATION': 'CLE', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 1628386}","{'TEAM_ABBREVIATION': 'BKN', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 1628386}","{'TEAM_ABBREVIATION': 'BKN', 'GROUP_VALUE': '2019-20', 'PLAYER_ID': 1628386}","{'TEAM_ABBREVIATION': 'BKN', 'GROUP_VALUE': '2018-19', 'PLAYER_ID': 1628386}","{'TEAM_ABBREVIATION': 'BKN', 'GROUP_VALUE': '2017-18', 'PLAYER_ID': 1628386}",,,,,,,,,,,,,,,,,
8,"{'TEAM_ABBREVIATION': 'NOP', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 1630631}","{'TEAM_ABBREVIATION': 'NOP', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 1630631}",,,,,,,,,,,,,,,,,,,,,,,
9,"{'TEAM_ABBREVIATION': 'MIN', 'GROUP_VALUE': '2022-23', 'PLAYER_ID': 203937}","{'TEAM_ABBREVIATION': 'MEM', 'GROUP_VALUE': '2021-22', 'PLAYER_ID': 203937}","{'TEAM_ABBREVIATION': 'MEM', 'GROUP_VALUE': '2020-21', 'PLAYER_ID': 203937}","{'TEAM_ABBREVIATION': 'MEM', 'GROUP_VALUE': '2019-20', 'PLAYER_ID': 203937}","{'TEAM_ABBREVIATION': 'MEM', 'GROUP_VALUE': '2018-19', 'PLAYER_ID': 203937}","{'TEAM_ABBREVIATION': 'SAS', 'GROUP_VALUE': '2017-18', 'PLAYER_ID': 203937}","{'TEAM_ABBREVIATION': 'SAS', 'GROUP_VALUE': '2016-17', 'PLAYER_ID': 203937}","{'TEAM_ABBREVIATION': 'SAS', 'GROUP_VALUE': '2015-16', 'PLAYER_ID': 203937}","{'TEAM_ABBREVIATION': 'SAS', 'GROUP_VALUE': '2014-15', 'PLAYER_ID': 203937}",,,,,,,,,,,,,,,,
